order_id,custumer_id,product_id,order_date,quantity,unity_price,status
10000,7,21,2025-10-04,1,404.28,cancelled
10001,22,14,2025-09-06,4,217.33,completed
10001,52,29,2025-01-31,2,56.18,completed
10002,34,30,2025-08-21,3,407.85,completed
10002,94,26,2025-10-12,4,108.07,completed
10002,38,7,2025-01-30,5,296.58,completed
10002,8,24,2025-06-10,1,277.42,completed
10003,65,30,2025-09-29,2,407.85,completed
10003,66,3,2025-04-06,1,253.0,completed
10003,87,28,2025-05-01,4,439.75,completed
10003,73,8,2025-10-24,5,136.64,completed
10004,54,22,2025-10-26,5,72.45,completed
10005,27,22,2025-06-10,2,72.45,completed
10005,17,22,2025-11-27,3,72.45,completed
10005,97,30,2025-02-07,1,407.85,completed
10006,10,18,2025-04-20,5,330.17,completed
10007,9,29,2025-05-06,3,56.18,completed
10007,57,27,2025-10-06,3,242.06,completed
10007,84,17,2025-01-05,5,333.66,completed
10008,18,9,2025-03-01,1,247.03,completed
10009,35,10,2025-11-06,2,215.39,completed
10009,27,22,2025-11-21,3,72.45,completed
10010,7,3,2025-11-21,4,253.0,completed
10010,6,1,2025-06-20,2,266.79,completed
10010,34,6,2025-08-15,5,443.54,completed
10011,15,3,2025-12-20,2,253.0,completed
10012,75,18,2025-03-17,4,330.17,completed
10012,40,12,2025-01-21,3,336.31,completed
10012,32,22,2025-02-22,3,72.45,completed
10013,80,24,2025-03-21,2,277.42,completed
10013,23,29,2025-07-31,1,56.18,completed
10013,43,26,2025-07-30,2,108.07,completed
10013,90,4,2025-07-15,1,278.83,completed
10014,26,27,2025-08-24,3,242.06,completed
10014,30,8,2025-01-13,2,136.64,completed
10015,9,25,2025-05-23,3,87.29,completed
10015,52,22,2025-10-02,3,72.45,cancelled
10015,15,29,2025-05-14,2,56.18,completed
10016,5,4,2025-11-02,4,278.83,completed
10016,41,14,2025-11-07,5,217.33,completed
10016,74,7,2025-05-11,1,296.58,completed
10017,67,30,2025-10-03,2,407.85,completed
10018,86,30,2025-06-19,5,407.85,completed
10019,93,29,2025-06-03,5,56.18,completed
10020,42,13,2025-12-23,3,190.06,completed
10020,25,14,2025-12-07,4,217.33,completed
10020,23,20,2025-10-19,3,369.54,completed
10020,1,10,2025-05-27,2,215.39,completed
10021,60,15,2025-08-15,2,434.64,completed
10021,95,6,2025-12-04,1,443.54,completed
10021,85,21,2025-11-14,3,404.28,completed
10022,87,10,2025-04-26,2,215.39,completed
10022,6,8,2025-09-01,5,136.64,completed
10023,59,14,2025-11-19,5,217.33,completed
10024,64,13,2025-05-05,2,190.06,completed
10024,1,29,2025-02-24,4,56.18,completed
10024,90,17,2025-08-26,1,333.66,completed
10024,16,15,2025-03-10,4,434.64,completed
10025,97,29,2025-08-15,5,56.18,completed
10025,65,14,2025-10-08,4,217.33,completed
10025,96,28,2025-09-01,4,439.75,completed
10026,82,9,2025-09-24,4,247.03,completed
10026,36,15,2025-02-09,3,434.64,completed
10027,41,29,2025-10-04,1,56.18,completed
10027,30,13,2025-12-22,2,190.06,completed
10027,9,14,2025-07-28,3,217.33,completed
10028,8,7,2025-08-04,4,296.58,cancelled
10028,75,23,2025-01-11,5,111.96,completed
10028,1,12,2025-06-02,4,336.31,completed
10028,54,18,2025-10-07,5,330.17,completed
10029,29,9,2025-08-12,4,247.03,completed
10029,44,22,2025-12-14,4,72.45,completed
10029,60,30,2025-03-07,5,407.85,completed
10029,51,19,2025-10-16,1,49.09,completed
10030,18,28,2025-08-25,2,439.75,completed
10030,49,11,2025-04-19,4,65.28,completed
10030,98,29,2025-07-14,3,56.18,completed
10030,54,9,2025-02-11,4,247.03,completed
10031,45,8,2025-11-29,1,136.64,completed
10032,97,1,2025-05-07,2,266.79,completed
10033,31,5,2025-08-31,1,367.21,completed
10033,28,15,2025-12-25,3,434.64,completed
10034,78,20,2025-02-28,2,369.54,cancelled
10034,14,19,2025-01-14,3,49.09,completed
10035,51,23,2025-04-12,1,111.96,completed
10035,81,8,2025-02-22,3,136.64,completed
10035,77,26,2025-03-03,5,108.07,completed
10035,45,18,2025-08-08,3,330.17,completed
10036,2,28,2025-08-04,4,439.75,completed
10036,47,21,2025-08-24,2,404.28,completed
10036,94,17,2025-11-30,3,333.66,completed
10037,60,14,2025-10-31,3,217.33,completed
10037,32,27,2025-02-14,3,242.06,completed
10037,32,25,2025-08-26,5,87.29,completed
10037,49,11,2025-01-15,4,65.28,completed
10038,63,7,2025-07-01,3,296.58,completed
10038,77,23,2025-05-22,5,111.96,completed
10039,11,8,2025-07-28,4,136.64,completed
10039,31,23,2025-09-01,4,111.96,completed
10040,12,10,2025-04-24,4,215.39,completed
10041,85,19,2025-07-08,4,49.09,completed
10041,45,14,2025-10-09,3,217.33,completed
10041,59,9,2025-06-06,3,247.03,completed
10042,41,4,2025-10-02,2,278.83,completed
10042,95,16,2025-05-22,5,46.0,refunded
10043,13,27,2025-04-10,3,242.06,completed
10043,23,10,2025-01-08,5,215.39,completed
10043,6,2,2025-10-11,3,153.67,completed
10044,82,28,2025-09-09,1,439.75,completed
10044,74,10,2025-08-29,4,215.39,completed
10045,7,9,2025-09-02,1,247.03,completed
10045,52,16,2025-02-07,5,46.0,completed
10046,20,5,2025-10-16,3,367.21,completed
10047,16,18,2025-08-02,5,330.17,completed
10047,80,8,2025-09-25,4,136.64,completed
10048,39,28,2025-10-29,4,439.75,completed
10048,80,2,2025-11-09,1,153.67,cancelled
10048,27,21,2025-04-19,3,404.28,completed
10048,21,8,2025-03-30,5,136.64,completed
10049,53,15,2025-12-19,5,434.64,completed
10050,30,10,2025-12-28,3,215.39,completed
10051,10,22,2025-04-30,3,72.45,completed
10051,81,19,2025-12-05,2,49.09,completed
10051,70,8,2025-11-28,2,136.64,cancelled
10051,19,3,2025-01-31,2,253.0,completed
10052,57,4,2025-08-28,3,278.83,completed
10052,35,17,2025-10-04,4,333.66,completed
10052,77,2,2025-08-10,3,153.67,completed
10053,12,8,2025-12-12,5,136.64,completed
10054,98,22,2025-05-18,5,72.45,completed
10055,61,17,2025-11-30,4,333.66,cancelled
10055,24,19,2025-08-12,4,49.09,cancelled
10056,45,14,2025-06-20,3,217.33,completed
10056,21,11,2025-07-30,4,65.28,completed
10056,52,27,2025-10-09,1,242.06,completed
10056,41,9,2025-06-15,1,247.03,refunded
10057,66,27,2025-01-01,5,242.06,completed
10057,7,7,2025-09-23,3,296.58,completed
10057,64,21,2025-08-15,1,404.28,completed
10057,71,5,2025-05-28,4,367.21,completed
10058,16,1,2025-11-19,5,266.79,completed
10058,91,6,2025-06-09,5,443.54,completed
10058,53,3,2025-04-26,1,253.0,completed
10058,16,21,2025-03-20,4,404.28,cancelled
10059,66,23,2025-05-20,4,111.96,completed
10059,61,8,2025-08-22,5,136.64,completed
10059,25,30,2025-11-03,5,407.85,completed
10060,9,9,2025-08-01,3,247.03,cancelled
10060,65,9,2025-01-02,3,247.03,completed
10061,20,15,2025-10-03,4,434.64,completed
10061,71,25,2025-10-06,4,87.29,completed
10061,42,28,2025-04-07,2,439.75,completed
10061,30,28,2025-07-30,1,439.75,completed
10062,91,30,2025-07-15,4,407.85,refunded
10062,84,5,2025-09-11,1,367.21,completed
10062,76,11,2025-02-21,4,65.28,completed
10062,59,1,2025-03-15,4,266.79,completed
10063,10,16,2025-05-16,3,46.0,completed
10063,51,21,2025-02-11,3,404.28,completed
10064,41,21,2025-09-07,5,404.28,completed
10064,9,8,2025-11-20,3,136.64,refunded
10064,96,3,2025-08-11,1,253.0,completed
10064,91,28,2025-02-21,4,439.75,completed
10065,4,2,2025-06-16,1,153.67,completed
10065,48,14,2025-03-16,2,217.33,completed
10065,73,22,2025-04-03,2,72.45,completed
10066,80,22,2025-05-04,4,72.45,cancelled
10066,19,8,2025-08-25,3,136.64,completed
10066,86,1,2025-08-27,3,266.79,completed
10066,21,3,2025-08-15,3,253.0,refunded
10067,82,14,2025-12-20,3,217.33,completed
10067,39,7,2025-07-16,4,296.58,completed
10067,49,19,2025-07-03,5,49.09,completed
10068,3,27,2025-12-04,4,242.06,completed
10068,73,28,2025-12-18,1,439.75,cancelled
10068,96,16,2025-05-27,2,46.0,completed
10069,29,21,2025-04-08,5,404.28,completed
10069,97,24,2025-12-04,2,277.42,completed
10069,81,21,2025-01-21,3,404.28,completed
10070,75,12,2025-03-09,1,336.31,cancelled
10071,96,14,2025-03-31,2,217.33,completed
10071,70,29,2025-07-07,5,56.18,completed
10071,35,27,2025-03-26,3,242.06,cancelled
10072,38,24,2025-06-23,1,277.42,completed
10072,10,5,2025-04-26,4,367.21,cancelled
10072,72,12,2025-02-16,4,336.31,completed
10072,69,4,2025-08-21,3,278.83,completed
10073,75,13,2025-11-23,3,190.06,completed
10073,30,16,2025-01-13,5,46.0,completed
10073,72,11,2025-11-09,2,65.28,completed
10074,90,10,2025-11-29,4,215.39,completed
10074,6,2,2025-06-05,4,153.67,completed
10074,31,29,2025-10-03,2,56.18,completed
10074,48,22,2025-12-23,5,72.45,completed
10075,54,21,2025-02-20,4,404.28,completed
10075,36,2,2025-12-20,3,153.67,completed
10076,31,28,2025-07-05,1,439.75,refunded
10076,48,18,2025-11-27,3,330.17,completed
10076,36,7,2025-03-04,4,296.58,completed
10076,28,21,2025-11-24,5,404.28,refunded
10077,43,8,2025-03-06,5,136.64,completed
10078,76,7,2025-04-30,3,296.58,completed
10078,77,1,2025-05-22,2,266.79,refunded
10079,23,4,2025-12-05,1,278.83,completed
10079,46,26,2025-05-02,5,108.07,completed
10079,23,9,2025-01-27,2,247.03,completed
10080,96,3,2025-09-01,4,253.0,completed
10081,58,17,2025-04-24,5,333.66,completed
10082,59,21,2025-01-16,1,404.28,refunded
10082,52,14,2025-12-18,1,217.33,completed
10082,57,3,2025-02-11,3,253.0,completed
10083,17,9,2025-11-16,5,247.03,completed
10084,49,20,2025-09-29,3,369.54,completed
10084,78,14,2025-02-20,1,217.33,completed
10084,84,29,2025-10-10,2,56.18,completed
10085,53,11,2025-08-21,4,65.28,completed
10085,13,11,2025-08-07,3,65.28,completed
10086,20,22,2025-08-31,1,72.45,completed
10086,11,3,2025-08-10,1,253.0,completed
10086,48,26,2025-03-08,5,108.07,completed
10087,86,4,2025-07-30,3,278.83,completed
10087,97,14,2025-01-27,3,217.33,completed
10087,46,4,2025-10-23,5,278.83,completed
10088,29,28,2025-02-25,3,439.75,completed
10088,48,4,2025-05-23,5,278.83,completed
10088,55,28,2025-10-15,5,439.75,completed
10088,83,18,2025-01-14,5,330.17,cancelled
10089,4,6,2025-05-20,3,443.54,cancelled
10089,45,1,2025-04-03,2,266.79,completed
10089,52,3,2025-03-14,1,253.0,completed
10090,49,14,2025-08-21,3,217.33,completed
10090,40,24,2025-06-16,5,277.42,completed
10091,20,6,2025-11-13,1,443.54,completed
10092,57,22,2025-08-06,4,72.45,completed
10092,54,9,2025-04-21,5,247.03,completed
10092,56,4,2025-05-26,5,278.83,completed
10093,6,8,2025-07-22,5,136.64,completed
10093,27,10,2025-04-19,2,215.39,completed
10093,38,11,2025-03-03,1,65.28,completed
10094,23,5,2025-07-14,5,367.21,completed
10094,65,18,2025-12-09,3,330.17,completed
10094,95,2,2025-08-12,1,153.67,completed
10094,10,28,2025-06-10,5,439.75,completed
10095,91,21,2025-08-02,3,404.28,completed
10095,3,11,2025-03-29,5,65.28,completed
10095,89,30,2025-07-05,1,407.85,completed
10095,14,8,2025-08-12,5,136.64,completed
10096,51,28,2025-06-08,3,439.75,completed
10097,10,17,2025-11-21,1,333.66,completed
10097,25,29,2025-06-28,3,56.18,completed
10098,31,4,2025-03-16,3,278.83,completed
10098,78,5,2025-12-02,1,367.21,completed
10099,60,25,2025-10-16,5,87.29,completed
10099,73,21,2025-11-22,5,404.28,completed
10099,81,11,2025-03-19,4,65.28,completed
10099,57,21,2025-06-05,3,404.28,completed
10100,65,3,2025-06-08,4,253.0,completed
10100,8,12,2025-05-27,1,336.31,completed
10100,12,20,2025-11-01,5,369.54,completed
10101,58,30,2025-10-20,2,407.85,completed
10102,65,5,2025-02-01,4,367.21,completed
10102,44,23,2025-02-13,5,111.96,completed
10102,6,8,2025-12-29,4,136.64,refunded
10102,68,17,2025-11-09,2,333.66,completed
10103,50,14,2025-06-23,5,217.33,completed
10103,81,21,2025-06-21,1,404.28,completed
10103,72,22,2025-07-17,3,72.45,completed
10104,43,3,2025-10-26,2,253.0,cancelled
10104,40,21,2025-12-24,4,404.28,completed
10105,40,18,2025-07-12,3,330.17,completed
10106,83,22,2025-08-05,5,72.45,completed
10107,40,6,2025-04-20,3,443.54,cancelled
10107,63,7,2025-04-26,2,296.58,completed
