product_id,product_name,category,unit_price
1,Eletronicos - produto 1,Eletronicos,266.79
2,Livros - produto 2,Livros,153.67
3,Casa - produto 3,Casa,253.0
4,Esporte - produto 4,Esporte,278.83
5,Eletronicos - produto 5,Eletronicos,367.21
6,Livros - produto 6,Livros,443.54
7,Casa - produto 7,Casa,296.58
8,Esporte - produto 8,Esporte,136.64
9,Eletronicos - produto 9,Eletronicos,247.03
10,Livros - produto 10,Livros,215.39
11,Casa - produto 11,Casa,65.28
12,Esporte - produto 12,Esporte,336.31
13,Eletronicos - produto 13,Eletronicos,190.06
14,Livros - produto 14,Livros,217.33
15,Casa - produto 15,Casa,434.64
16,Esporte - produto 16,Esporte,46.0
17,Eletronicos - produto 17,Eletronicos,333.66
18,Livros - produto 18,Livros,330.17
19,Casa - produto 19,Casa,49.09
20,Esporte - produto 20,Esporte,369.54
21,Eletronicos - produto 21,Eletronicos,404.28
22,Livros - produto 22,Livros,72.45
23,Casa - produto 23,Casa,111.96
24,Esporte - produto 24,Esporte,277.42
25,Eletronicos - produto 25,Eletronicos,87.29
26,Livros - produto 26,Livros,108.07
27,Casa - produto 27,Casa,242.06
28,Esporte - produto 28,Esporte,439.75
29,Eletronicos - produto 29,Eletronicos,56.18
30,Livros - produto 30,Livros,407.85
